id,Name,Type,Cuisine,Address,District,Rating, Average 
TD_001,Mon_Quang_-_Food_&_Coffee_House_-_Thong_Nhat,Restaurant,Vietnamese,"15_Thong_Nhat,_P._Binh_Tho",Thu_Duc_city,4.1,101000
TD_002,An_Vat_Lang_Dai_Hoc,Restaurant,Vietnamese,Lang_Dai_Hoc,Thu_Duc_city,3.5,52500
TD_003,Khu_An_Vat_Dai_Hoc_Nong_Lam,Restaurant,Vietnamese,"KP._6,_Quoc_Lo_1A,_P._Linh_Trung",Thu_Duc_city,3.7,27500
TD_004,Banh_Trang_Nuong_-_Huu_Nghi,Restaurant,Vietnamese,76_Huu_Nghi,Thu_Duc_city,3.85,15000
TD_005,Quan_Them_-_Chao_Ech,Bistro,Vietnamese,62_To_Vinh_Dien,Thu_Duc_city,3.45,25000
TD_006,Ong_Chu_Do_-_Lau_Bo_Mang_Ve,Bistro,Vietnamese,"9_Hiep_Binh,_P._Hiep_Binh_Chanh",Thu_Duc_city,4.1,102500
TD_007,"Trum_An_Vat_Sai_Gon_-_Banh_Trang_Nuong,_Cut_Nuong_&_Trai_Cay_To",Restaurant,Vietnamese,"8_Thong_Nhat,_P._Binh_Tho",Thu_Duc_city,4.25,17500
TD_008,Charm_Charm_-_Xien_Nuong_Dong_Gia_5k,Restaurant,Vietnamese,Lang_Dai_Hoc_Quoc_Gia,Thu_Duc_city,3.35,10000
TD_009,Xien_Que_5K_-_Lang_Dai_Hoc,Restaurant,Vietnamese,Lang_Dai_Hoc,Thu_Duc_city,4.35,7500
TD_010,Steak_Bin_&_Pizza_-_Hoang_Dieu_2,Restaurant,Vietnamese,"168_Hoang_Dieu_2,_P._Linh_Chieu",Thu_Duc_city,3.2,62500
TD_011,An_Vat_Ngon_Ngon_Thu_Duc,Restaurant,Vietnamese,"26_Han_Thuyen,_P._Binh_Tho",Thu_Duc_city,3.45,112500
TD_012,Song_Xanh_-_Cafe_San_Vuon_&_Cau_Ca,Cafe,Vietnamese,"273/38_Quoc_Lo_13_(Cu),_P._Hiep_Binh_Phuoc",Thu_Duc_city,4.35,12500
TD_013,Xien_Que_Nuong_-_Duong_17,Restaurant,Vietnamese,"42_Duong_17,_P._Hiep_Binh_Chanh",Thu_Duc_city,3.65,17500
TD_014,Bun_Rieu_Co_Bay_-_Hem_24_Vo_Van_Ngan,Restaurant,Vietnamese,Hem_24_Vo_Van_Ngan,Thu_Duc_city,4.65,17500
TD_015,U_Nu_-_Dac_San_Phan_Thiet,Restaurant,Vietnamese,"12/23_Quoc_Lo_13,_To_18,_KP._03,_P._Hiep_Binh_Chanh",Thu_Duc_city,4.95,12500
TD_016,Nem_Ran_Pho_Co,Restaurant,Vietnamese,"38_Duong_So_18,_P._Linh_Tay",Thu_Duc_city,3.8,12500
TD_017,Pha_Lau_-_Linh_Dong,Restaurant,Vietnamese,"269_Linh_Dong,_P._Linh_Dong",Thu_Duc_city,3.9,10500
TD_018,Quan_211_-_Xien_Que_Nuong,Restaurant,Vietnamese,"211_Hoang_Dieu_2,_Linh_Trung",Thu_Duc_city,3.65,9000
TD_019,Ksor_Quan_-_Sua_Chua_Cham_Muoi_Gia_Lai,Restaurant,Vietnamese,"34_Duong_So_12,_KP._5,_P._Hiep_Binh_Chanh",Thu_Duc_city,4.6,35500
TD_020,Chuan_Teen_-_Hot_Ga_Nuong_Online,Restaurant,Vietnamese,"1092/26_Tinh_Lo_43,_P._Binh_Chieu",Thu_Duc_city,4.95,6500
